Rating,Comment
5,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.."
1,Battery performance is worst after using 1 month my iphone battery health reduced to 98 percent.  Iphone is worst in terms of of battery performance
5,Good
5,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone"
5,Just amazing!
5,Nice camera but battery drain fast specially on video recording
5,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go."
4,Nice UI and Fast
5,I switch  from x r  to 14 great experience Best display and sound quality and some fabulous changes in camera is also.great
4,Awesome 👍
No Rating,Awesome 👍
5,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.."
1,Battery performance is worst after using 1 month my iphone battery health reduced to 98 percent.  Iphone is worst in terms of of battery performance
5,Good
5,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone"
5,Just amazing!
5,Nice camera but battery drain fast specially on video recording
5,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go."
4,Nice UI and Fast
5,I switch  from x r  to 14 great experience Best display and sound quality and some fabulous changes in camera is also.great
4,Awesome 👍
No Rating,Awesome 👍
5,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.."
1,Battery performance is worst after using 1 month my iphone battery health reduced to 98 percent.  Iphone is worst in terms of of battery performance
5,Good
5,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone"
5,Just amazing!
5,Nice camera but battery drain fast specially on video recording
5,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go."
4,Nice UI and Fast
5,I switch  from x r  to 14 great experience Best display and sound quality and some fabulous changes in camera is also.great
4,Awesome 👍
No Rating,Awesome 👍
5,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.."
1,Battery performance is worst after using 1 month my iphone battery health reduced to 98 percent.  Iphone is worst in terms of of battery performance
5,Good
5,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone"
5,Just amazing!
5,Nice camera but battery drain fast specially on video recording
5,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go."
4,Nice UI and Fast
5,I switch  from x r  to 14 great experience Best display and sound quality and some fabulous changes in camera is also.great
4,Awesome 👍
No Rating,Awesome 👍
5,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.."
5,Good
5,Just amazing!
5,Nice camera but battery drain fast specially on video recording
